Year,Quater,Registered_Users,App_Opens
2018,1,46877867,0
2018,2,63648311,0
2018,3,80010952,0
2018,4,102262055,0
2019,1,123432699,0
2019,2,141808226,920413791
2019,3,159293934,3448366103
2019,4,178279085,4301071954
2020,1,197575164,4768944662
2020,2,218996326,4357634272
2020,3,241169683,5739326491
2020,4,264271293,7461623162
2021,1,284985430,8635508502
2021,2,305258086,9630620549
2021,3,328354923,12256377890
2021,4,351161395,15172529039
2022,1,372951831,15724195113
2022,2,393424643,17786667567
2022,3,414324881,19223454074
2022,4,433947940,21262699669
